epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,52.94129653821032,53.57711463096015,57.056451612903224,56.55241935483871
2,67.83760613977792,56.85111854996734,45.66532258064516,53.024193548387096
3,69.47766982364467,57.72575114304376,68.6491935483871,55.74596774193548
4,69.84813847158719,59.207625734813845,71.7741935483871,59.627016129032256
5,70.1981956237753,60.75889941214892,72.42943548387096,60.08064516129032
6,70.38802253429131,61.40798497713912,72.32862903225806,62.600806451612904
7,70.59826094056173,62.02543272370999,73.1350806451613,61.99596774193548
8,70.68296864794252,62.07952318745917,65.97782258064517,61.340725806451616
9,71.39941214892227,62.49387655127368,74.44556451612904,61.895161290322584
10,72.24138634879164,62.95007348138471,74.79838709677419,63.104838709677416
11,72.8537312214239,62.97252612671456,74.09274193548387,63.00403225806452
12,73.02416721097322,63.172558785107775,74.94959677419355,62.399193548387096
13,73.57425702155454,63.48791639451339,75.40322580645162,63.457661290322584
14,73.64467668190726,63.62875571521881,75.05040322580645,63.104838709677416
15,73.82021554539517,65.28106629653821,76.05846774193549,67.43951612903226
16,74.08862671456565,69.69096995427824,74.84879032258064,69.70766129032258
17,74.42439581972567,71.04527269758329,75.25201612903226,70.96774193548387
18,74.83874918354017,71.76886022207708,74.8991935483871,72.12701612903226
19,75.19288863487917,75.94199052906598,76.20967741935483,77.06653225806451
20,76.25530698889615,80.26106303069889,77.26814516129032,80.99798387096774
