epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,57.07276241289198,55.55926067073171,69.76902173913044,59.51086956521739
2,69.22773301393728,59.22800522648084,69.7350543478261,62.46603260869565
3,70.13352025261324,60.83337870209059,70.44836956521739,61.786684782608695
4,70.41321864111498,61.70786149825784,71.46739130434783,63.79076086956522
5,70.63915505226481,62.00593423344948,71.50135869565217,62.12635869565217
6,71.00528092334494,62.48979202961672,70.44836956521739,62.87364130434783
7,71.47212543554006,62.83414089721254,66.50815217391305,61.24320652173913
8,72.56029507839722,63.0723268728223,72.69021739130434,63.79076086956522
9,73.1516768292683,63.4717987804878,72.92798913043478,65.01358695652173
10,73.24354856271778,67.78568706445994,73.40353260869566,72.14673913043478
11,73.4375,81.74610736062718,73.74320652173913,93.24048913043478
12,73.64370100174216,96.2985899390244,74.66032608695652,96.53532608695652
13,75.94729965156795,98.18978658536585,79.04211956521739,98.09782608695652
14,81.59162674216027,98.83561084494774,82.0991847826087,97.96195652173913
15,84.02384581881533,99.18472343205575,82.6086956521739,98.94701086956522
16,85.89530705574913,99.37799433797909,84.20516304347827,98.77717391304348
17,87.14340156794425,99.48551829268293,84.71467391304348,99.45652173913044
18,88.11928353658537,99.57602896341463,86.6508152173913,99.4225543478261
19,88.89372822299651,99.63863784843205,86.71875,99.2866847826087
20,89.54227460801394,99.71077417247386,86.71875,99.4225543478261
