epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,57.98875762195122,53.60953832752613,67.2554347826087,54.65353260869565
2,69.18485953832753,55.17135779616725,69.02173913043478,57.54076086956522
3,69.91847234320558,55.248257839721255,68.44429347826087,56.62364130434783
4,70.32338850174216,55.342171167247386,70.44836956521739,56.72554347826087
5,70.64732142857143,55.31494991289198,71.19565217391305,54.14402173913044
6,70.94539416376307,55.38980836236934,71.09375,56.72554347826087
7,71.50819359756098,55.29929769163763,71.84103260869566,55.84239130434783
8,72.25337543554006,55.686520034843205,71.1616847826087,56.25
9,72.93118466898954,57.16531467770035,72.41847826086956,60.42798913043478
10,73.4694849738676,59.4886487369338,73.47146739130434,59.74864130434783
11,73.74305858013938,61.14165940766551,72.21467391304348,62.16032608695652
12,73.98804986933798,61.97531032229965,73.94701086956522,61.61684782608695
13,74.19833405923345,62.329867160278745,73.3695652173913,62.296195652173914
14,74.33784298780488,63.153310104529616,73.3695652173913,64.33423913043478
15,74.3820775261324,65.85638066202091,73.98097826086956,67.69701086956522
16,74.44060322299651,71.04747386759581,74.1508152173913,74.83016304347827
17,74.61958297038328,79.13899172473867,73.98097826086956,81.75951086956522
18,74.82646450348432,86.56835256968641,74.2866847826087,87.53396739130434
19,77.98957425958189,89.45720818815332,78.49864130434783,89.74184782608695
20,81.92508710801394,90.77131424216027,79.21195652173913,89.47010869565217
