epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,54.59494773519164,55.107387848432055,63.24728260869565,58.45788043478261
2,63.94612913763066,59.629518728223,64.50407608695652,61.75271739130435
3,65.04110409407666,60.65780161149826,34.54483695652174,38.65489130434783
4,65.19490418118467,61.701736716027874,66.23641304347827,63.31521739130435
5,65.49093532229965,63.90393619337979,66.30434782608695,66.84782608695652
6,66.04624891114983,68.65404507839722,67.32336956521739,71.05978260869566
7,66.78462543554006,70.17299107142857,68.58016304347827,70.65217391304348
8,67.87891986062718,70.69631968641114,69.05570652173913,71.26358695652173
9,68.7411530923345,71.19174651567944,68.10461956521739,72.48641304347827
10,69.50743140243902,75.53898083623693,70.3804347826087,81.86141304347827
11,71.77836454703832,87.75043554006969,74.18478260869566,95.75407608695652
12,78.63471798780488,98.00808471254355,79.07608695652173,98.3695652173913
13,81.29423453832753,99.15409952090593,81.69157608695652,99.18478260869566
14,83.34603658536585,99.45013066202091,82.43885869565217,99.18478260869566
15,85.819087543554,99.5910006533101,84.54483695652173,99.72826086956522
16,87.49931946864112,99.67606707317073,86.61684782608695,99.45652173913044
17,88.92503266550523,99.74888392857143,87.4320652173913,99.72826086956522
18,90.34666267421603,99.79447952961672,59.81657608695652,87.22826086956522
19,91.37358449477352,99.84347778745645,88.65489130434783,99.7961956521739
20,92.0786149825784,99.85436628919861,89.6399456521739,99.52445652173913
