epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,50.31841933376878,42.46407576747224,48.95493141737427,52.11693548387097,41.431451612903224,48.08467741935484
2,52.78004572175049,43.63059274983671,50.307193011103855,53.024193548387096,41.98588709677419,51.71370967741935
3,53.28625081645983,43.42851894186806,50.51130796864794,53.67943548387097,43.145161290322584,50.05040322580645
4,53.07295068582626,43.86736610058785,50.63785924232528,53.32661290322581,43.497983870967744,50.70564516129032
5,53.312785760940564,44.558295231874595,50.57356303069889,53.42741935483871,45.46370967741935,51.159274193548384
6,53.292374265186155,60.262900065316785,54.909985303723055,53.528225806451616,68.09475806451613,57.409274193548384
7,53.247468974526456,65.51681907250163,55.199828543435665,52.62096774193548,70.11088709677419,55.34274193548387
8,53.296456564337035,69.90631123448726,55.66827237099935,53.83064516129032,72.12701612903226,57.006048387096776
9,53.227057478772046,70.99730568256042,55.64275800130633,53.528225806451616,72.68145161290323,56.703629032258064
10,53.225016329196606,71.98216035271065,55.969341933376874,53.62903225806452,74.39516129032258,59.274193548387096
11,53.385246570868716,72.63124591770085,56.819480731548005,53.62903225806452,74.39516129032258,62.046370967741936
12,54.493590790333116,73.40484160679294,60.07307315480078,53.67943548387097,75.85685483870968,64.01209677419355
13,55.2416721097322,73.70080829523188,61.29266002612671,53.98185483870968,74.24395161290323,62.903225806451616
14,55.54376224689745,74.11924395819726,61.72946603527107,53.931451612903224,76.05846774193549,63.00403225806452
15,55.67031352057479,74.4060254735467,62.00910352710647,54.13306451612903,76.10887096774194,65.77620967741936
16,55.90300457217505,74.71015676028739,62.22444480731548,53.729838709677416,75.20161290322581,63.70967741935484
17,56.082625734813845,74.98775310254736,62.4550947093403,52.520161290322584,71.37096774193549,59.122983870967744
18,56.29286414108426,75.25616427171784,62.949052906597,55.34274193548387,75.55443548387096,63.00403225806452
19,56.68680600914435,75.54702808621816,63.21134062704115,55.59475806451613,76.00806451612904,61.99596774193548
20,56.6694562377531,75.71644350097975,63.44607282821685,54.88911290322581,76.10887096774194,63.659274193548384
